School Name,School Name Short,Town,School Type,TOTAL_Enrollment,Average Class Size,% Economically Disadvantaged,% High Needs,% English Language Learner,% Students With Disabilities,% Graduated,% Dropped Out,% Attending College,Average SAT_Math,Average SAT_Reading,% AP_Score 3-5,Average Expenditures per Pupil,Accountability and Assistance Level,School Accountability Percentile (1-99),AI_Classification,AI_Insight,AI_Key_Strength,AI_Key_Concern,School_Level,IF_Classification,State_Level
Blue Hills Regional Vocational Technical,Blue Hills Reg,Canton,Public School,867,15.8,22.7,42.0,0.2,25.4,97.4,0.0,63.6,446.0,445.0,50.0,21335.09,Level 2,60.0,Performing,The school boasts a high graduation rate of 97.4% and no dropouts.,Graduation,SAT scores,High School,Performing,Level 2
Boston Collegiate Charter School,Boston Collegia,Dorchester,Charter School,680,20.6,29.4,44.6,3.4,17.9,91.5,0.0,82.1,536.0,491.0,53.4,,Level 2,76.0,Performing,Boston Collegiate Charter School has a high graduation rate and strong college attendance.,Graduation Rate,SAT Scores,High School,Thriving,Level 2
Boston Day and Evening Academy Charter School,Boston Day Even,Roxbury,Charter School,404,15.8,56.2,70.8,9.2,27.2,9.8,21.6,53.3,409.0,410.0,,,Level 3,,At Risk,"The school has alarmingly low graduation and high dropout rates, signaling a need for urgent support.",College attendance,Graduation rate,High School,At Risk,Level 3
Boston Green Academy Horace Mann Charter School,Boston Green Ac,Brighton,Charter School,476,14.4,61.1,75.0,13.0,20.2,76.6,7.8,74.6,357.0,367.0,5.8,,Level 3,10.0,Struggling,The school has low SAT scores and a high percentage of economically disadvantaged students.,Graduation rate,SAT scores,High School,Performing,Level 3
Boston Preparatory Charter Public School,Boston Prep CS,Hyde Park,Charter School,415,34.0,39.0,61.7,10.1,22.2,75.0,11.5,95.2,489.0,426.0,20.6,,Level 2,64.0,Performing,High college attendance rates indicate strong post-graduation aspirations among students.,College Attendance,SAT Scores,High School,Struggling,Level 2
Bridgewater-Raynham Regional,Bridgewater-Ray,Bridgewater,Public School,1512,16.9,12.0,20.5,0.8,9.9,92.6,3.0,76.1,531.0,510.0,67.9,12759.08,Level 3,36.0,Performing,Bridgewater-Raynham Regional shows solid graduation and college attendance rates.,Graduation rate,SAT scores,High School,Thriving,Level 3
Bristol County Agricultural High,Bristol County,Dighton,Public School,468,17.7,17.1,27.6,0.0,12.6,100.0,0.0,72.2,511.0,512.0,,19277.31,Level 2,63.0,Thriving,Bristol County maintains a perfect graduation rate and has a commendable college attendance rate.,Graduation rate,SAT scores,High School,Thriving,Level 2
Bristol-Plymouth Vocational Technical,Bristol-Plymout,Taunton,Public School,1303,17.4,26.2,38.4,0.2,18.8,97.1,1.9,57.2,469.0,461.0,31.7,17515.74,Level 1,61.0,Performing,The school boasts a high graduation rate of 97.1% while showing room for improvement in college attendance.,Graduation Rate,College Attendance,High School,Performing,Level 1
Cape Cod Region Vocational Technical,Cape Cod Region,Harwich,Public School,623,13.3,35.8,54.9,2.9,27.3,92.9,2.6,40.7,448.0,471.0,29.0,24490.44,Level 2,41.0,Performing,"The graduation rate is strong, but college attendance is notably low.",Graduation rate,College attendance,High School,Struggling,Level 2
Wahconah Regional High,Wahconah Reg Hi,Dalton,Public School,543,15.1,21.2,27.8,0.6,10.7,91.6,5.3,85.7,509.0,499.0,41.2,15105.28,Level 2,69.0,Performing,Wahconah Regional High has a high graduation rate and strong college attendance.,Graduation Rate,SAT Scores,High School,Performing,Level 2
City on a Hill Charter Public School Circuit Street,City on a Hill,Roxbury,Charter School,279,12.1,56.3,70.3,10.4,22.6,69.5,5.1,91.1,460.0,395.0,12.5,,Level 2,57.0,Performing,High college attendance rates indicate strong post-graduation opportunities for students.,College attendance,SAT scores,High School,Struggling,Level 2
Codman Academy Charter Public School,Codman Acad CS,Dorchester,Charter School,359,17.8,51.8,65.2,0.0,22.0,62.5,8.3,81.5,406.0,374.0,0.0,,Level 1,42.0,Performing,Codman Academy has a strong college attendance rate despite moderate graduation and SAT performance.,College Attendance,Graduation Rate,High School,Struggling,Level 1
Community Charter School of Cambridge,Comm CS Cambrid,Cambridge,Charter School,374,16.7,34.8,49.7,2.4,19.0,92.5,1.9,88.5,475.0,427.0,26.7,,Level 1,84.0,Thriving,The school boasts a high graduation rate and excellent college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 1
Concord Carlisle High,Concord Carlisl,Concord,Public School,1276,15.3,5.4,21.1,0.4,16.5,98.3,0.0,89.7,635.0,616.0,94.4,21518.71,Level 2,85.0,Thriving,Concord Carlisle High boasts a remarkable graduation rate of 98.3% and excellent AP performance.,Graduation Rate,Equity,High School,Thriving,Level 2
Dennis-Yarmouth Regional High,Dennis-Yarmouth,South Yarmouth,Public School,1003,14.7,34.3,46.8,4.5,17.4,87.9,5.3,71.3,478.0,494.0,57.1,16498.76,Level 2,31.0,Performing,"The graduation rate is strong at 87.9%, indicating solid overall student retention.",Graduation rate,SAT scores,High School,Performing,Level 2
Dighton-Rehoboth Regional High School,Dighton-Rehobot,North Dighton,Public School,928,16.9,14.0,23.0,0.0,13.0,92.9,1.4,78.9,547.0,547.0,73.0,13315.89,Level 2,77.0,Performing,Dighton-Rehoboth boasts a strong graduation rate of 92.9% with a solid college attendance percentage.,Graduation Rate,SAT Scores,High School,Thriving,Level 2
Dover-Sherborn Regional High,Dover-Sherborn,Dover,Public School,652,12.9,3.4,14.6,0.5,11.7,99.4,0.0,90.6,620.0,613.0,94.4,18672.58,Level 1,99.0,Thriving,Dover-Sherborn boasts an exceptional graduation rate and high college attendance.,Graduation Rate,None,High School,Thriving,Level 1
Shepherd Hill Regional High,Shepherd Hill R,Dudley,Public School,1166,19.2,17.2,24.0,0.7,10.4,92.3,3.3,77.0,525.0,506.0,58.5,11584.81,Level 2,46.0,Performing,Shepherd Hill Regional High has a strong graduation rate and college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 2
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),Edward M. Kenne,Boston,Charter School,359,17.1,54.0,68.0,13.6,16.4,86.7,5.3,81.8,397.0,386.0,19.4,,Level 2,35.0,Performing,The school maintains a solid graduation rate while facing challenges in SAT and AP performance.,Graduation Rate,SAT Scores,High School,Performing,Level 2
Essex Technical High School,Essex Tech HS,Hathorne,Public School,1307,16.1,21.0,38.3,0.3,21.2,97.5,0.4,65.7,471.0,488.0,56.3,21470.17,Level 1,76.0,Thriving,Essex Technical High School boasts a high graduation rate with low dropout rates.,Graduation,SAT Scores,High School,Performing,Level 1
Four Rivers Charter Public School,Four Rivers CS,Greenfield,Charter School,220,13.7,29.5,40.0,0.5,14.5,86.1,5.6,71.4,535.0,568.0,,,Level 2,79.0,Performing,"The school shows solid graduation rates and college attendance, but SAT scores indicate room for improvement.",Graduation Rate,SAT Scores,High School,Performing,Level 2
Foxborough Regional Charter School,Foxborough Reg,Foxborough,Charter School,1261,22.2,17.0,32.8,11.7,9.0,100.0,0.0,87.5,498.0,508.0,64.8,,Level 2,66.0,Error,Expecting value: line 1 column 1 (char 0),N/A,N/A,High School,Thriving,Level 2
Framingham High School,Framingham HS,Framingham,Public School,2102,17.0,22.7,39.9,11.0,14.9,88.3,4.2,73.5,562.0,529.0,91.2,17447.64,Level 2,62.0,Performing,Framingham High School has a solid graduation rate and AP performance.,Graduation rate,College attendance,High School,Performing,Level 2
Francis W. Parker Charter Essential School,Francis W. Park,Devens,Charter School,395,17.7,5.3,19.7,0.0,15.9,85.2,0.0,91.5,538.0,582.0,,,Level 2,70.0,Thriving,The school boasts an impressive college attendance rate of 91.5%.,College Attendance,N/A,High School,Performing,Level 2
Franklin High,Franklin High,Franklin,Public School,1739,16.9,5.9,17.4,0.6,12.7,96.2,0.7,89.9,556.0,542.0,73.8,12435.24,Level 1,73.0,Thriving,Franklin High boasts a high graduation rate and exceptional college attendance.,Graduation,SAT Scores,High School,Thriving,Level 1
Franklin County Technical,Franklin County,Turners Falls,Public School,488,13.1,35.7,52.0,0.0,28.5,90.6,6.3,33.6,,,13.9,23624.62,Level 2,27.0,Performing,Franklin County has a solid graduation rate but low college attendance and AP performance.,Graduation Rate,College Attendance,High School,At Risk,Level 2
Apponequet Regional High,Apponequet Reg,Lakeville,Public School,725,15.0,10.8,21.2,0.3,14.6,93.5,2.5,86.5,518.0,523.0,74.6,12187.71,Level 2,71.0,Thriving,Apponequet Regional High boasts strong graduation and college attendance rates.,Graduation rate,None,High School,Thriving,Level 2
Frontier Regional,Frontier Reg,South Deerfield,Public School,611,13.3,17.5,31.1,1.5,19.1,91.3,1.0,85.9,522.0,540.0,80.5,17416.44,Level 2,54.0,Performing,"Frontier Regional shows solid graduation and college attendance rates, indicating a supportive educational environment.",Graduation Rate,SAT Scores,High School,Thriving,Level 2
Gardner Academy for Learning and Technology,Gardner Acad Lr,Gardner,Public School,93,11.0,65.6,76.3,4.3,29.0,57.4,25.5,28.6,,,,12530.13,Insufficient data,,At Risk,"The school has a low graduation rate and a high dropout rate, indicating urgent intervention is needed.",Small class sizes,Low graduation rate,High School,At Risk,Insufficient data
Gardner High,Gardner High,Gardner,Public School,711,15.9,41.5,50.4,3.1,18.1,95.0,0.8,82.1,463.0,451.0,39.9,12530.13,Level 3,20.0,Performing,Gardner High has a high graduation rate but average SAT scores.,Graduation Rate,SAT Scores,High School,Thriving,Level 3
Gateway Regional High,Gateway Reg Hig,Huntington,Public School,220,11.6,28.6,37.7,0.5,16.4,89.9,5.8,76.9,521.0,553.0,48.1,15338.32,Level 1,41.0,Performing,Gateway Regional High has strong graduation and college attendance rates.,Graduation rate,SAT scores,High School,Performing,Level 1
Georgetown High School,Georgetown HS,Georgetown,Public School,411,12.8,10.2,20.4,0.0,13.6,97.1,1.0,92.5,534.0,549.0,100.0,12601.51,Level 1,83.0,Thriving,Georgetown High School boasts a remarkable graduation rate and 100% success in AP scores.,Graduation,SAT Scores,High School,Thriving,Level 1
Turners Fall High,Turners Fall Hi,Montague,Public School,231,12.0,34.6,44.6,3.5,16.0,73.8,21.5,71.4,506.0,494.0,48.1,15659.26,Level 3,17.0,Struggling,Turners Fall High has a significant dropout rate and low accountability percentile.,AP Scores,Dropout Rate,High School,At Risk,Level 3
Global Learning Charter Public School,Global Lrn CS P,New Bedford,Charter School,507,16.4,49.7,59.4,10.7,13.4,87.0,13.0,87.9,468.0,449.0,26.0,,Level 2,35.0,Performing,The school has a solid graduation rate and college attendance but room for improvement in SAT scores.,Graduation rate,SAT scores,High School,Struggling,Level 2
Gloucester High,Gloucester High,Gloucester,Public School,818,14.9,32.6,47.9,4.2,25.6,88.0,7.7,69.8,509.0,496.0,66.3,16065.93,Level 2,29.0,Performing,Gloucester High shows solid graduation rates but average college attendance and SAT scores.,Graduation rate,College attendance,High School,Performing,Level 2
Grafton High School,Grafton HS,Grafton,Public School,835,18.0,10.8,21.7,0.5,13.7,91.3,3.7,81.1,553.0,533.0,68.6,11043.15,Level 2,58.0,Performing,"Grafton HS has a solid graduation rate and college attendance, with room for improvement in SAT scores.",Graduation rate,SAT scores,High School,Thriving,Level 2
Granby Jr Sr High School,Granby Jr Sr HS,Granby,Public School,381,14.8,20.5,30.7,1.6,14.7,93.2,2.7,79.5,516.0,506.0,39.8,11933.06,Level 2,44.0,Performing,"Granby Jr Sr High School shows solid graduation rates and college attendance, indicating steady performance.",Graduation rate,SAT scores,High School,Thriving,Level 2
Diman Regional Vocational Technical High,Diman Reg Voc T,Fall River,Public School,1395,13.5,36.1,42.3,1.9,9.8,97.0,1.8,55.5,454.0,449.0,55.0,18088.55,Level 2,47.0,Performing,Diman Regional Vocational Technical High has a high graduation rate but average college attendance and SAT scores.,Graduation rate,College attendance,High School,Performing,Level 2
Gr Lawrence Regional Vocational Technical,Gr Lawrence Reg,Andover,Public School,1473,12.7,52.1,66.9,9.8,20.4,95.9,2.8,56.3,406.0,379.0,12.5,20557.68,Level 1,28.0,Performing,The school has a high graduation rate but average college attendance and exam scores.,Graduation,College Attendance,High School,Performing,Level 1
Gr Lowell Regional Vocational Technical,Gr Lowell Reg V,Tyngsborough,Public School,2184,17.9,43.9,60.3,5.4,21.2,93.6,1.6,52.4,447.0,436.0,,18952.06,Level 2,46.0,Performing,The school has a strong graduation rate but lower college attendance and SAT scores.,Graduation,College Attendance,High School,Struggling,Level 2
Gr New Bedford Vocational Technical,Gr New Bedford,New Bedford,Public School,2154,14.5,36.9,45.2,2.8,11.3,93.2,5.1,58.6,447.0,451.0,75.4,18668.5,Level 2,21.0,Performing,The school has a commendable graduation rate with a strong AP performance.,Graduation Rate,SAT Scores,High School,Performing,Level 2
Greenfield High,Greenfield High,Greenfield,Public School,448,13.4,44.4,50.7,4.5,17.9,79.4,9.3,74.1,499.0,496.0,44.4,14543.52,Level 2,29.0,Performing,Greenfield High has a solid graduation rate but faces challenges in SAT and dropout rates.,Graduation rate,SAT scores,High School,Performing,Level 2
Groton Dunstable Regional,Groton Dunstabl,Groton,Public School,812,17.7,3.1,14.3,0.0,12.1,98.2,1.4,89.7,584.0,558.0,83.6,13253.86,Level 1,98.0,Thriving,Groton Dunstable Regional boasts an impressive graduation rate and college attendance.,Graduation Rate,SAT Scores,High School,Thriving,Level 1
Hopkins Academy,Hopkins Acad,Hadley,Public School,258,13.1,11.2,18.2,1.2,7.8,96.2,0.0,85.4,556.0,545.0,63.2,12553.08,Level 2,74.0,Thriving,"Hopkins Academy boasts an impressive graduation rate and college attendance, showcasing strong academic outcomes.",Graduation rate,SAT scores,High School,Thriving,Level 2
Hamilton-Wenham Regional High,Hamilton-Wenham,South Hamilton,Public School,574,14.8,6.3,18.3,0.0,13.2,98.1,0.6,89.3,559.0,571.0,71.2,15956.1,Level 1,91.0,Thriving,Hamilton-Wenham boasts an impressive graduation rate and strong college attendance among its students.,Graduation Rate,N/A,High School,Thriving,Level 1
Hampden Charter School of Science,Hampden CS Sci,Chicopee,Charter School,478,18.1,41.8,47.3,4.6,7.7,94.3,0.0,95.2,520.0,470.0,73.7,,Level 1,86.0,Thriving,Hampden Charter School of Science boasts an impressive graduation rate and high college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 1
Minnechaug Regional High,Minnechaug Reg,Wilbraham,Public School,1147,17.5,11.5,21.5,0.0,13.6,94.9,2.7,86.6,534.0,518.0,81.4,13829.67,Level 1,78.0,Thriving,Minnechaug Regional High boasts high graduation and college attendance rates alongside strong AP performance.,Graduation rate,SAT scores,High School,Thriving,Level 1
Hampshire Regional High,Hampshire Reg H,Westhampton,Public School,741,13.3,16.3,29.0,0.8,18.1,97.7,0.0,85.5,533.0,525.0,77.1,16159.07,Level 2,66.0,Thriving,Hampshire Regional High boasts an impressive graduation rate of 97.7% and strong college attendance.,Graduation Rate,SAT Scores,High School,Thriving,Level 2
Hanover High,Hanover High,Hanover,Public School,790,16.7,5.7,21.0,0.6,16.6,98.5,1.0,86.9,520.0,505.0,64.0,12473.93,Level 2,74.0,Thriving,Hanover High boasts an impressive graduation rate and college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 2
Bromfield,Bromfield,Harvard,Public School,684,15.6,5.3,16.5,0.3,11.0,95.1,2.0,90.7,589.0,594.0,92.5,15798.53,Level 2,94.0,Thriving,Bromfield boasts a strong graduation rate and impressive college attendance.,Graduation Rate,Diversity,High School,Thriving,Level 2
Smith Academy,Smith Acad,Hatfield,Public School,198,11.7,14.1,29.3,0.5,18.2,100.0,0.0,78.0,550.0,568.0,56.9,13521.52,Level 1,71.0,Thriving,Smith Academy boasts a perfect graduation rate and zero dropout rate.,Graduation,SAT scores,High School,Thriving,Level 1
Haverhill High,Haverhill High,Haverhill,Public School,1828,16.8,34.6,45.6,6.7,17.1,77.8,12.6,67.4,512.0,513.0,53.1,12301.06,Level 3,10.0,Struggling,Haverhill High faces challenges with a high dropout rate and low college attendance.,AP Scores,Dropout Rate,High School,Struggling,Level 3
Hingham High,Hingham High,Hingham,Public School,1225,14.8,6.4,16.4,0.0,11.2,99.3,0.4,87.9,569.0,555.0,96.0,12367.63,Level 1,89.0,Thriving,Hingham High boasts an impressive graduation rate of 99.3% and a high AP success rate.,Graduation Rate,N/A,High School,Thriving,Level 1
Holbrook Jr Sr High,Holbrook Jr Sr,Holbrook,Public School,465,12.9,34.6,46.0,4.5,15.1,88.2,7.9,62.1,473.0,458.0,48.1,14780.85,Level 1,48.0,Performing,Holbrook Jr Sr High demonstrates solid graduation rates with a strong percentage of students scoring 3-5 on AP exams.,Graduation rate,SAT scores,High School,Performing,Level 1
Holliston High,Holliston High,Holliston,Public School,809,16.7,5.6,17.8,0.6,13.5,96.2,0.9,89.0,581.0,561.0,86.5,13446.3,Level 1,92.0,Thriving,Holliston High boasts a 96.2% graduation rate and 89% college attendance.,Graduation rate,None,High School,Thriving,Level 1
Holyoke High,Holyoke High,Holyoke,Public School,1285,18.1,62.0,68.3,14.9,16.6,68.9,13.8,69.3,482.0,480.0,32.2,15742.27,Level 3,12.0,Struggling,Holyoke High has low graduation rates and a significant dropout percentage.,College attendance,Graduation rate,High School,Struggling,Level 3
Wm J Dean Vocational Technical High,Wm J Dean Voc T,Holyoke,Public School,252,12.7,83.3,91.7,28.6,38.9,40.0,30.4,46.7,384.0,350.0,,15742.27,Level 4,1.0,At Risk,"The school's graduation rate and SAT scores are significantly below average, indicating urgent intervention is needed.",Support,Graduation,High School,At Risk,Level 4
Hopedale Jr Sr High,Hopedale Jr Sr,Hopedale,Public School,524,14.2,9.0,22.9,0.6,16.4,95.1,1.2,85.9,535.0,524.0,57.0,11836.82,Level 1,79.0,Thriving,Hopedale Jr Sr High boasts a high graduation rate and strong college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 1
Hopkinton High,Hopkinton High,Hopkinton,Public School,1092,17.6,3.8,14.2,0.5,11.5,98.7,0.3,89.9,580.0,552.0,84.8,13534.81,Level 1,97.0,Thriving,Hopkinton High boasts exceptional graduation and college attendance rates with strong AP performance.,Graduation rate,None,High School,Thriving,Level 1
Hudson High,Hudson High,Hudson,Public School,943,15.1,19.3,31.8,3.9,15.5,91.1,3.7,87.7,512.0,506.0,63.1,14637.03,Level 2,38.0,Performing,Hudson High boasts a high graduation rate and college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 2
Hull High,Hull High,Hull,Public School,311,11.1,27.3,37.3,1.0,18.0,81.8,5.7,76.7,513.0,507.0,66.9,17670.73,Level 2,51.0,Performing,Hull High maintains a solid graduation rate and college attendance despite facing some economic challenges.,Graduation Rate,SAT Scores,High School,Performing,Level 2
Innovation Academy Charter School,Innov Acad CS,Tyngsboro,Charter School,792,18.1,9.7,28.5,2.5,18.7,88.8,1.3,90.8,526.0,543.0,,,Level 2,77.0,Performing,High college attendance and graduation rates indicate stable outcomes for students.,College Attendance,SAT Scores,High School,Performing,Level 2
Ipswich High,Ipswich High,Ipswich,Public School,543,12.2,9.0,19.0,0.9,12.3,94.7,2.3,80.8,514.0,528.0,80.2,14069.27,Level 1,72.0,Thriving,"Ipswich High boasts a high graduation rate and impressive college attendance, reflecting strong academic performance.",Graduation rate,None,High School,Thriving,Level 1
KIPP Academy Lynn Charter School,KIPP Acad Lynn,Lynn,Charter School,1196,22.1,48.1,69.2,27.4,12.5,88.3,2.6,79.7,,,41.0,,Level 1,88.0,Performing,KIPP Academy Lynn shows solid graduation and college attendance rates for its economically disadvantaged students.,Graduation Rate,AP Scores,High School,Performing,Level 1
King Philip Regional High,King Philip Reg,Wrentham,Public School,1320,19.1,8.1,17.1,0.3,11.0,95.9,1.1,87.4,544.0,551.0,80.1,13883.56,Level 1,77.0,Thriving,King Philip Regional High shows exceptional graduation and college attendance rates.,Graduation rate,None,High School,Thriving,Level 1
High School Learning Center,HS Lrn Ctr,Lawrence,Public School,176,8.9,62.5,81.8,28.4,14.8,40.4,17.6,31.2,,,,14474.68,Insufficient data,,At Risk,"The school has a low graduation rate and high dropout rate, indicating urgent need for intervention.",Small class sizes,Low graduation rates,High School,At Risk,Insufficient data
Lee Middle/High School,Lee Middle/HS,Lee,Public School,349,12.3,28.1,36.7,1.4,12.6,87.7,3.1,70.6,508.0,532.0,38.5,16517.82,Level 2,38.0,Performing,"Lee Middle/High School shows solid graduation and college attendance rates, with room for improvement in SAT and AP scores.",Graduation,SAT scores,High School,Performing,Level 2
Leicester High,Leicester High,Leicester,Public School,455,16.3,19.3,28.8,1.5,12.3,87.6,1.8,81.2,529.0,524.0,57.2,12761.79,Level 1,42.0,Performing,"Leicester High has a strong graduation rate and college attendance, indicating good post-secondary readiness.",Graduation,SAT scores,High School,Performing,Level 1
Lenox Memorial High,Lenox Memorial,Lenox,Public School,455,11.3,18.9,25.9,2.6,9.5,97.6,0.0,92.2,599.0,598.0,69.2,17527.3,Level 2,89.0,Thriving,Lenox Memorial High boasts an impressive graduation rate and college attendance.,Graduation rate,N/A,High School,Thriving,Level 2
Leominster High School,Leominster HS,Leominster,Public School,1086,13.4,27.4,39.8,5.6,15.3,90.5,3.4,75.3,501.0,487.0,53.2,13306.32,Level 2,23.0,Performing,Leominster High School maintains a solid graduation rate and college attendance amidst diverse student needs.,Graduation rate,SAT scores,High School,Thriving,Level 2
Lexington High,Lexington High,Lexington,Public School,2185,19.2,5.6,18.0,2.9,9.9,98.1,0.6,84.2,645.0,619.0,94.3,17866.69,Level 1,97.0,Thriving,Lexington High boasts a high graduation rate and exceptional AP scores.,Graduation Rate,N/A,High School,Thriving,Level 1
Lincoln-Sudbury Regional High,Lincoln-Sudbury,Sudbury,Public School,1568,19.7,5.5,19.5,0.3,15.4,98.2,0.0,86.5,610.0,577.0,95.9,18550.06,Level 2,82.0,Thriving,Lincoln-Sudbury boasts exceptional graduation and college attendance rates with outstanding AP performance.,Graduation rate,None,High School,Thriving,Level 2
Littleton High School,Littleton HS,Littleton,Public School,467,15.8,5.4,22.5,1.1,18.6,98.1,0.0,87.1,589.0,578.0,92.5,13990.04,Level 1,86.0,Thriving,Littleton High School boasts an impressive graduation rate of 98.1% and exceptional AP scores.,Graduation rate,None,High School,Thriving,Level 1
Longmeadow High,Longmeadow High,Longmeadow,Public School,947,18.9,5.5,20.6,0.5,15.8,98.8,0.0,92.3,570.0,552.0,90.7,14385.39,Level 1,93.0,Thriving,Longmeadow High boasts an exceptional graduation rate and a high percentage of college attendance.,Graduation rate,None,High School,Thriving,Level 1
Lowell High,Lowell High,Lowell,Public School,3145,18.3,44.3,56.3,11.2,10.3,82.0,5.8,77.9,491.0,465.0,55.3,13851.06,Level 3,11.0,Struggling,Lowell High faces challenges with low SAT scores and a low accountability percentile.,AP Scores,SAT Performance,High School,Performing,Level 3
Lowell Middlesex Academy Charter School,Lowell Middlese,Lowell,Charter School,94,12.9,66.0,74.5,1.1,27.7,19.0,28.6,50.0,,,,,Level 3,,At Risk,"Only 19% of students graduated, indicating a critical need for intervention.",Attendance,Graduation,High School,At Risk,Level 3
Ludlow Senior High,Ludlow Senior H,Ludlow,Public School,895,14.6,20.3,30.4,1.1,14.3,94.4,2.6,80.0,505.0,499.0,64.1,14296.91,Level 1,53.0,Performing,Ludlow Senior High has a solid graduation rate and college attendance but moderate SAT scores.,Graduation Rate,SAT Scores,High School,Thriving,Level 1
Lunenburg High,Lunenburg High,Lunenburg,Public School,439,15.3,14.1,21.0,1.4,12.5,93.7,1.1,87.3,525.0,533.0,66.7,12424.04,Level 2,91.0,Thriving,Lunenburg High boasts a high graduation rate of 93.7% and strong college attendance.,Graduation Rate,SAT Scores,High School,Thriving,Level 2
Classical High,Classical High,Lynn,Public School,1569,19.9,43.8,57.6,14.3,12.0,79.5,13.4,63.3,466.0,450.0,47.0,13690.68,Level 3,14.0,Struggling,Classical High faces challenges with a significant dropout rate and low SAT scores.,AP participation,Graduation rate,High School,Struggling,Level 3
Fecteau-Leary Junior/Senior High School,Fecteau-Leary J,Lynn,Public School,308,12.3,52.3,94.2,56.2,17.5,37.0,32.6,10.5,,,,13690.68,Level 3,3.0,At Risk,"The school has a graduation rate of just 37%, indicating a critical need for intervention.",Supportive community,Low graduation rate,High School,At Risk,Level 3
Lynn English High,Lynn English Hi,Lynn,Public School,1598,18.6,44.3,62.3,19.3,11.5,77.3,12.6,66.2,455.0,449.0,36.7,13690.68,Level 3,22.0,Struggling,Lynn English High faces challenges with a 12.6% dropout rate and low SAT scores.,Diversity,Dropout rate,High School,Struggling,Level 3
Lynn Vocational Technical Institute,Lynn Voc Tech I,Lynn,Public School,969,15.8,48.7,68.2,11.2,24.8,78.5,5.4,45.0,439.0,423.0,18.2,13690.68,Level 3,14.0,Struggling,Lynn Voc Tech I has a high percentage of students with special needs but low college attendance rates.,Diversity,College Attendance,High School,Struggling,Level 3
Lynnfield High,Lynnfield High,Lynnfield,Public School,628,16.4,7.8,21.3,0.0,14.8,98.8,0.0,87.5,547.0,530.0,79.5,13899.53,Level 1,95.0,Thriving,Lynnfield High boasts an impressive graduation rate of 98.8% and strong college attendance.,Graduation,SAT scores,High School,Thriving,Level 1
MATCH Charter Public School,MATCH CS Public,Boston,Charter School,1145,26.5,56.4,76.1,34.2,19.3,63.9,3.3,90.7,504.0,435.0,40.0,,Level 2,66.0,Performing,MATCH CS Public has a high college attendance rate despite moderate graduation and SAT scores.,College Attendance,Graduation Rate,High School,Struggling,Level 2
Ma Academy for Math and Science School,Ma Acad Math Sc,Worcester,Public School,97,16.3,5.2,5.2,0.0,0.0,100.0,0.0,93.5,741.0,703.0,94.2,,Insufficient data,,Thriving,The school boasts a 100% graduation rate and excellent college attendance.,Graduation Rate,None,High School,Thriving,Insufficient data
Malden High,Malden High,Malden,Public School,1833,19.1,39.9,58.3,14.7,14.1,84.5,5.3,76.6,507.0,455.0,41.6,13643.34,Level 3,20.0,Performing,Malden High has solid graduation and college attendance rates despite facing significant economic disadvantages.,Graduation rate,SAT scores,High School,Performing,Level 3
Manchester Essex Regional High School,Manchester Esse,Manchester,Public School,424,13.4,8.0,18.4,0.9,9.7,97.4,0.9,89.3,601.0,595.0,86.5,15313.52,Level 1,96.0,Thriving,Manchester Essex Regional High School boasts exceptional graduation and college attendance rates.,Graduation rate,None,High School,Thriving,Level 1
Mansfield High,Mansfield High,Mansfield,Public School,1315,14.3,9.1,18.7,0.7,11.5,97.8,1.0,89.1,566.0,541.0,89.0,13790.47,Level 2,86.0,Thriving,Mansfield High boasts an impressive graduation rate of 97.8% and high college attendance at 89.1%.,Graduation Rate,SAT Scores,High School,Thriving,Level 2
Marblehead High,Marblehead High,Marblehead,Public School,1051,14.2,8.8,26.2,1.4,20.5,95.8,1.1,89.3,564.0,563.0,85.6,13677.99,Level 1,85.0,Thriving,Marblehead High boasts impressive graduation and college attendance rates coupled with strong AP performance.,Graduation,N/A,High School,Thriving,Level 1
Marlborough High,Marlborough Hig,Marlborough,Public School,1091,13.5,28.0,46.1,11.8,15.4,87.0,3.7,76.8,523.0,498.0,42.6,15843.17,Level 3,18.0,Performing,Marlborough High demonstrates solid graduation and college attendance rates amidst diverse student needs.,Graduation rate,SAT scores,High School,Performing,Level 3
Marshfield High,Marshfield High,Marshfield,Public School,1370,18.2,10.2,22.7,0.6,14.0,97.1,1.0,87.1,520.0,518.0,72.3,12709.0,Level 2,67.0,Thriving,Marshfield High boasts a 97.1% graduation rate and high college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 2
Martha's Vineyard Regional High,Martha's Vineya,Oak Bluffs,Public School,661,12.0,19.8,37.5,6.2,19.1,92.3,3.0,75.6,527.0,531.0,69.7,27613.75,Level 2,44.0,Performing,The school boasts a high graduation rate and strong AP performance.,Graduation rate,SAT scores,High School,Thriving,Level 2
