School Name,School Name Short,Town,School Type,TOTAL_Enrollment,Average Class Size,% Economically Disadvantaged,% High Needs,Average Expenditures per Pupil,Accountability and Assistance Level,School Accountability Percentile (1-99),AI_Classification,AI_Insight,AI_Key_Strength,AI_Key_Concern,School_Level
Diman Regional Vocational Technical High,Diman Reg Voc T,Fall River,Public School,1395,13.5,36.1,42.3,18088.55,Level 2,47.0,Performing,Diman Regional Vocational Technical High has a high graduation rate but average college attendance and SAT scores.,Graduation rate,College attendance,High School
Gr Lawrence Regional Vocational Technical,Gr Lawrence Reg,Andover,Public School,1473,12.7,52.1,66.9,20557.68,Level 1,28.0,Performing,The school has a high graduation rate but average college attendance and exam scores.,Graduation,College Attendance,High School
Gr Lowell Regional Vocational Technical,Gr Lowell Reg V,Tyngsborough,Public School,2184,17.9,43.9,60.3,18952.06,Level 2,46.0,Performing,The school has a strong graduation rate but lower college attendance and SAT scores.,Graduation,College Attendance,High School
Gr New Bedford Vocational Technical,Gr New Bedford,New Bedford,Public School,2154,14.5,36.9,45.2,18668.5,Level 2,21.0,Performing,The school has a commendable graduation rate with a strong AP performance.,Graduation Rate,SAT Scores,High School
Greenfield High,Greenfield High,Greenfield,Public School,448,13.4,44.4,50.7,14543.52,Level 2,29.0,Performing,Greenfield High has a solid graduation rate but faces challenges in SAT and dropout rates.,Graduation rate,SAT scores,High School
Groton Dunstable Regional,Groton Dunstabl,Groton,Public School,812,17.7,3.1,14.3,13253.86,Level 1,98.0,Thriving,Groton Dunstable Regional boasts an impressive graduation rate and college attendance.,Graduation Rate,SAT Scores,High School
Hopkins Academy,Hopkins Acad,Hadley,Public School,258,13.1,11.2,18.2,12553.08,Level 2,74.0,Thriving,"Hopkins Academy boasts an impressive graduation rate and college attendance, showcasing strong academic outcomes.",Graduation rate,SAT scores,High School
Hamilton-Wenham Regional High,Hamilton-Wenham,South Hamilton,Public School,574,14.8,6.3,18.3,15956.1,Level 1,91.0,Thriving,Hamilton-Wenham boasts an impressive graduation rate and strong college attendance among its students.,Graduation Rate,N/A,High School
Hampden Charter School of Science,Hampden CS Sci,Chicopee,Charter School,478,18.1,41.8,47.3,,Level 1,86.0,Thriving,Hampden Charter School of Science boasts an impressive graduation rate and high college attendance.,Graduation rate,SAT scores,High School
Minnechaug Regional High,Minnechaug Reg,Wilbraham,Public School,1147,17.5,11.5,21.5,13829.67,Level 1,78.0,Thriving,Minnechaug Regional High boasts high graduation and college attendance rates alongside strong AP performance.,Graduation rate,SAT scores,High School
Hampshire Regional High,Hampshire Reg H,Westhampton,Public School,741,13.3,16.3,29.0,16159.07,Level 2,66.0,Thriving,Hampshire Regional High boasts an impressive graduation rate of 97.7% and strong college attendance.,Graduation Rate,SAT Scores,High School
Hanover High,Hanover High,Hanover,Public School,790,16.7,5.7,21.0,12473.93,Level 2,74.0,Thriving,Hanover High boasts an impressive graduation rate and college attendance.,Graduation rate,SAT scores,High School
Bromfield,Bromfield,Harvard,Public School,684,15.6,5.3,16.5,15798.53,Level 2,94.0,Thriving,Bromfield boasts a strong graduation rate and impressive college attendance.,Graduation Rate,Diversity,High School
Smith Academy,Smith Acad,Hatfield,Public School,198,11.7,14.1,29.3,13521.52,Level 1,71.0,Thriving,Smith Academy boasts a perfect graduation rate and zero dropout rate.,Graduation,SAT scores,High School
Haverhill High,Haverhill High,Haverhill,Public School,1828,16.8,34.6,45.6,12301.06,Level 3,10.0,Struggling,Haverhill High faces challenges with a high dropout rate and low college attendance.,AP Scores,Dropout Rate,High School
Hingham High,Hingham High,Hingham,Public School,1225,14.8,6.4,16.4,12367.63,Level 1,89.0,Thriving,Hingham High boasts an impressive graduation rate of 99.3% and a high AP success rate.,Graduation Rate,N/A,High School
Holbrook Jr Sr High,Holbrook Jr Sr,Holbrook,Public School,465,12.9,34.6,46.0,14780.85,Level 1,48.0,Performing,Holbrook Jr Sr High demonstrates solid graduation rates with a strong percentage of students scoring 3-5 on AP exams.,Graduation rate,SAT scores,High School
Holliston High,Holliston High,Holliston,Public School,809,16.7,5.6,17.8,13446.3,Level 1,92.0,Thriving,Holliston High boasts a 96.2% graduation rate and 89% college attendance.,Graduation rate,None,High School
Holyoke High,Holyoke High,Holyoke,Public School,1285,18.1,62.0,68.3,15742.27,Level 3,12.0,Struggling,Holyoke High has low graduation rates and a significant dropout percentage.,College attendance,Graduation rate,High School
Wm J Dean Vocational Technical High,Wm J Dean Voc T,Holyoke,Public School,252,12.7,83.3,91.7,15742.27,Level 4,1.0,At Risk,"The school's graduation rate and SAT scores are significantly below average, indicating urgent intervention is needed.",Support,Graduation,High School
Hopedale Jr Sr High,Hopedale Jr Sr,Hopedale,Public School,524,14.2,9.0,22.9,11836.82,Level 1,79.0,Thriving,Hopedale Jr Sr High boasts a high graduation rate and strong college attendance.,Graduation rate,SAT scores,High School
Hopkinton High,Hopkinton High,Hopkinton,Public School,1092,17.6,3.8,14.2,13534.81,Level 1,97.0,Thriving,Hopkinton High boasts exceptional graduation and college attendance rates with strong AP performance.,Graduation rate,None,High School
Hudson High,Hudson High,Hudson,Public School,943,15.1,19.3,31.8,14637.03,Level 2,38.0,Performing,Hudson High boasts a high graduation rate and college attendance.,Graduation rate,SAT scores,High School
Hull High,Hull High,Hull,Public School,311,11.1,27.3,37.3,17670.73,Level 2,51.0,Performing,Hull High maintains a solid graduation rate and college attendance despite facing some economic challenges.,Graduation Rate,SAT Scores,High School
Innovation Academy Charter School,Innov Acad CS,Tyngsboro,Charter School,792,18.1,9.7,28.5,,Level 2,77.0,Performing,High college attendance and graduation rates indicate stable outcomes for students.,College Attendance,SAT Scores,High School
Ipswich High,Ipswich High,Ipswich,Public School,543,12.2,9.0,19.0,14069.27,Level 1,72.0,Thriving,"Ipswich High boasts a high graduation rate and impressive college attendance, reflecting strong academic performance.",Graduation rate,None,High School
KIPP Academy Lynn Charter School,KIPP Acad Lynn,Lynn,Charter School,1196,22.1,48.1,69.2,,Level 1,88.0,Performing,KIPP Academy Lynn shows solid graduation and college attendance rates for its economically disadvantaged students.,Graduation Rate,AP Scores,High School
King Philip Regional High,King Philip Reg,Wrentham,Public School,1320,19.1,8.1,17.1,13883.56,Level 1,77.0,Thriving,King Philip Regional High shows exceptional graduation and college attendance rates.,Graduation rate,None,High School
High School Learning Center,HS Lrn Ctr,Lawrence,Public School,176,8.9,62.5,81.8,14474.68,Insufficient data,,At Risk,"The school has a low graduation rate and high dropout rate, indicating urgent need for intervention.",Small class sizes,Low graduation rates,High School
Lee Middle/High School,Lee Middle/HS,Lee,Public School,349,12.3,28.1,36.7,16517.82,Level 2,38.0,Performing,"Lee Middle/High School shows solid graduation and college attendance rates, with room for improvement in SAT and AP scores.",Graduation,SAT scores,High School
Leicester High,Leicester High,Leicester,Public School,455,16.3,19.3,28.8,12761.79,Level 1,42.0,Performing,"Leicester High has a strong graduation rate and college attendance, indicating good post-secondary readiness.",Graduation,SAT scores,High School
Lenox Memorial High,Lenox Memorial,Lenox,Public School,455,11.3,18.9,25.9,17527.3,Level 2,89.0,Thriving,Lenox Memorial High boasts an impressive graduation rate and college attendance.,Graduation rate,N/A,High School
Leominster High School,Leominster HS,Leominster,Public School,1086,13.4,27.4,39.8,13306.32,Level 2,23.0,Performing,Leominster High School maintains a solid graduation rate and college attendance amidst diverse student needs.,Graduation rate,SAT scores,High School
Lexington High,Lexington High,Lexington,Public School,2185,19.2,5.6,18.0,17866.69,Level 1,97.0,Thriving,Lexington High boasts a high graduation rate and exceptional AP scores.,Graduation Rate,N/A,High School
Lincoln-Sudbury Regional High,Lincoln-Sudbury,Sudbury,Public School,1568,19.7,5.5,19.5,18550.06,Level 2,82.0,Thriving,Lincoln-Sudbury boasts exceptional graduation and college attendance rates with outstanding AP performance.,Graduation rate,None,High School
Littleton High School,Littleton HS,Littleton,Public School,467,15.8,5.4,22.5,13990.04,Level 1,86.0,Thriving,Littleton High School boasts an impressive graduation rate of 98.1% and exceptional AP scores.,Graduation rate,None,High School
Longmeadow High,Longmeadow High,Longmeadow,Public School,947,18.9,5.5,20.6,14385.39,Level 1,93.0,Thriving,Longmeadow High boasts an exceptional graduation rate and a high percentage of college attendance.,Graduation rate,None,High School
Lowell High,Lowell High,Lowell,Public School,3145,18.3,44.3,56.3,13851.06,Level 3,11.0,Struggling,Lowell High faces challenges with low SAT scores and a low accountability percentile.,AP Scores,SAT Performance,High School
Lowell Middlesex Academy Charter School,Lowell Middlese,Lowell,Charter School,94,12.9,66.0,74.5,,Level 3,,At Risk,"Only 19% of students graduated, indicating a critical need for intervention.",Attendance,Graduation,High School
Ludlow Senior High,Ludlow Senior H,Ludlow,Public School,895,14.6,20.3,30.4,14296.91,Level 1,53.0,Performing,Ludlow Senior High has a solid graduation rate and college attendance but moderate SAT scores.,Graduation Rate,SAT Scores,High School
Lunenburg High,Lunenburg High,Lunenburg,Public School,439,15.3,14.1,21.0,12424.04,Level 2,91.0,Thriving,Lunenburg High boasts a high graduation rate of 93.7% and strong college attendance.,Graduation Rate,SAT Scores,High School
Classical High,Classical High,Lynn,Public School,1569,19.9,43.8,57.6,13690.68,Level 3,14.0,Struggling,Classical High faces challenges with a significant dropout rate and low SAT scores.,AP participation,Graduation rate,High School
Fecteau-Leary Junior/Senior High School,Fecteau-Leary J,Lynn,Public School,308,12.3,52.3,94.2,13690.68,Level 3,3.0,At Risk,"The school has a graduation rate of just 37%, indicating a critical need for intervention.",Supportive community,Low graduation rate,High School
Lynn English High,Lynn English Hi,Lynn,Public School,1598,18.6,44.3,62.3,13690.68,Level 3,22.0,Struggling,Lynn English High faces challenges with a 12.6% dropout rate and low SAT scores.,Diversity,Dropout rate,High School
Lynn Vocational Technical Institute,Lynn Voc Tech I,Lynn,Public School,969,15.8,48.7,68.2,13690.68,Level 3,14.0,Struggling,Lynn Voc Tech I has a high percentage of students with special needs but low college attendance rates.,Diversity,College Attendance,High School
Lynnfield High,Lynnfield High,Lynnfield,Public School,628,16.4,7.8,21.3,13899.53,Level 1,95.0,Thriving,Lynnfield High boasts an impressive graduation rate of 98.8% and strong college attendance.,Graduation,SAT scores,High School
MATCH Charter Public School,MATCH CS Public,Boston,Charter School,1145,26.5,56.4,76.1,,Level 2,66.0,Performing,MATCH CS Public has a high college attendance rate despite moderate graduation and SAT scores.,College Attendance,Graduation Rate,High School
Ma Academy for Math and Science School,Ma Acad Math Sc,Worcester,Public School,97,16.3,5.2,5.2,,Insufficient data,,Thriving,The school boasts a 100% graduation rate and excellent college attendance.,Graduation Rate,None,High School
Malden High,Malden High,Malden,Public School,1833,19.1,39.9,58.3,13643.34,Level 3,20.0,Performing,Malden High has solid graduation and college attendance rates despite facing significant economic disadvantages.,Graduation rate,SAT scores,High School
Manchester Essex Regional High School,Manchester Esse,Manchester,Public School,424,13.4,8.0,18.4,15313.52,Level 1,96.0,Thriving,Manchester Essex Regional High School boasts exceptional graduation and college attendance rates.,Graduation rate,None,High School
Mansfield High,Mansfield High,Mansfield,Public School,1315,14.3,9.1,18.7,13790.47,Level 2,86.0,Thriving,Mansfield High boasts an impressive graduation rate of 97.8% and high college attendance at 89.1%.,Graduation Rate,SAT Scores,High School
Marblehead High,Marblehead High,Marblehead,Public School,1051,14.2,8.8,26.2,13677.99,Level 1,85.0,Thriving,Marblehead High boasts impressive graduation and college attendance rates coupled with strong AP performance.,Graduation,N/A,High School
Marlborough High,Marlborough Hig,Marlborough,Public School,1091,13.5,28.0,46.1,15843.17,Level 3,18.0,Performing,Marlborough High demonstrates solid graduation and college attendance rates amidst diverse student needs.,Graduation rate,SAT scores,High School
Marshfield High,Marshfield High,Marshfield,Public School,1370,18.2,10.2,22.7,12709.0,Level 2,67.0,Thriving,Marshfield High boasts a 97.1% graduation rate and high college attendance.,Graduation rate,SAT scores,High School
Martha's Vineyard Regional High,Martha's Vineya,Oak Bluffs,Public School,661,12.0,19.8,37.5,27613.75,Level 2,44.0,Performing,The school boasts a high graduation rate and strong AP performance.,Graduation rate,SAT scores,High School
Masconomet Regional High School,Masconomet Reg,Boxford,Public School,1188,15.8,5.8,18.1,15422.23,Level 1,94.0,Thriving,Masconomet Regional High School boasts a remarkable graduation rate of 97.5% and high college attendance.,Graduation Rate,N/A,High School
Mashpee High,Mashpee High,Mashpee,Public School,415,11.4,23.6,36.6,16804.31,Level 2,37.0,Performing,Mashpee High has a good graduation rate but average college attendance and SAT scores.,Graduation Rate,College Attendance,High School
Maynard High,Maynard High,Maynard,Public School,502,16.4,17.1,31.7,14641.79,Level 2,40.0,Performing,Maynard High shows solid graduation and college attendance rates but has room for improvement in SAT scores.,Graduation rate,SAT scores,High School
Medfield Senior High,Medfield Senior,Medfield,Public School,842,16.6,3.8,13.5,13848.61,Level 1,96.0,Thriving,Medfield Senior High boasts an impressive graduation rate of 98.3% and high college attendance.,Graduation Rate,N/A,High School
Medford High,Medford High,Medford,Public School,1174,,24.8,40.2,16005.95,Level 2,60.0,Performing,Medford High demonstrates solid graduation and college attendance rates with commendable AP performance.,AP Scores,SAT Scores,High School
Medford Vocational Technical High,Medford Voc Tec,Medford,Public School,257,,36.2,58.8,16005.95,Level 2,33.0,Struggling,The school's college attendance rate is notably low despite a reasonable graduation rate.,Graduation Rate,College Attendance,High School
Medway High,Medway High,Medway,Public School,762,16.6,6.3,15.9,13307.78,Level 1,81.0,Thriving,Medway High boasts an impressive graduation rate of 96.7% and strong college attendance at 87.8%.,Graduation Rate,N/A,High School
Melrose High,Melrose High,Melrose,Public School,988,18.1,11.8,23.8,12057.62,Level 1,72.0,Thriving,Melrose High boasts a high graduation rate and strong college attendance.,Graduation Rate,SAT Scores,High School
Nipmuc Regional High,Nipmuc Reg High,Upton,Public School,593,13.6,10.3,20.1,13742.48,Level 1,83.0,Thriving,Nipmuc Regional High boasts a high graduation rate and strong college attendance.,Graduation Rate,None,High School
Methuen High,Methuen High,Methuen,Public School,1891,16.7,30.2,38.1,12808.32,Level 3,26.0,Performing,"Methuen High shows solid graduation and college attendance rates, despite lower SAT scores.",Graduation rate,SAT scores,High School
Middleborough High,Middleborough H,Middleborough,Public School,694,14.6,21.0,31.8,13515.17,Level 2,38.0,Performing,Middleborough High has a solid graduation rate and a strong AP pass rate.,Graduation rate,College attendance,High School
Milford High,Milford High,Milford,Public School,1135,16.2,26.4,37.6,13339.7,Level 3,17.0,Struggling,Milford High faces significant challenges with a high dropout rate and low accountability percentile.,AP Performance,Dropout Rate,High School
Millbury Junior/Senior High,Millbury Junior,Millbury,Public School,727,15.2,22.7,35.4,14989.37,Level 1,46.0,Performing,"Millbury Junior has a high graduation rate and low dropout rate, indicating solid stability.",Graduation Rate,SATS,High School
Millis High School,Millis HS,Millis,Public School,390,14.5,9.7,18.7,13489.87,Level 1,77.0,Thriving,"Millis High School boasts a high graduation rate and college attendance, indicating strong student success.",Graduation rate,SAT scores,High School
Milton High,Milton High,Milton,Public School,1001,16.9,11.2,21.5,14116.37,Level 2,80.0,Thriving,Milton High boasts a strong graduation rate and high college attendance.,Graduation rate,SAT scores,High School
Minuteman Regional High,Minuteman Reg H,Lexington,Public School,582,12.0,26.1,62.4,28207.95,Level 1,35.0,Performing,Minuteman Regional High maintains solid graduation rates despite a high percentage of students with disabilities.,Graduation rate,College attendance,High School
Mohawk Trail Regional High,Mohawk Trail Re,Shelburne Falls,Public School,422,12.3,34.6,46.7,17491.91,Level 2,39.0,Performing,Mohawk Trail Regional High has a commendable graduation rate and college attendance but can improve on SAT scores.,Graduation rate,SAT scores,High School
Monomoy Regional High School,Monomoy Reg HS,Harwich,Public School,599,12.3,20.5,30.9,15979.82,Level 2,47.0,Performing,"Monomoy Regional High School has solid graduation and college attendance rates, showing adequate overall performance.",Graduation,SAT scores,High School
Monson High School,Monson HS,Monson,Public School,287,14.7,17.1,22.6,13955.42,Level 2,25.0,Performing,"Monson High School has a high graduation rate and college attendance, indicating solid performance.",Graduation rate,SAT scores,High School
Montachusett Regional Vocational Technical,Montachusett Re,Fitchburg,Public School,1429,18.7,23.0,34.4,18275.47,Level 1,58.0,Performing,High graduation and low dropout rates indicate solid foundational success.,Graduation,College Attendance,High School
Mt Greylock Regional High,Mt Greylock Reg,Williamstown,Public School,562,13.3,17.6,27.0,19625.78,Level 1,87.0,Thriving,Mt Greylock Regional High boasts impressive graduation and college attendance rates.,Graduation Rate,N/A,High School
Mystic Valley Regional Charter School,Mystic Valley R,Malden,Charter School,1486,22.7,17.2,29.3,,Level 2,82.0,Thriving,"Mystic Valley has an impressive graduation rate and college attendance, indicating strong student outcomes.",Graduation rate,SAT scores,High School
Nantucket High,Nantucket High,Nantucket,Public School,538,12.8,17.3,37.5,20736.02,Level 2,36.0,Performing,"Nantucket High has a solid graduation rate and college attendance, with room for improvement in SAT scores.",Graduation rate,SAT scores,High School
Narragansett Regional High,Narragansett Re,Baldwinville,Public School,372,11.9,20.2,29.0,12696.99,Level 2,45.0,Performing,"Narragansett Regional High has solid graduation and college attendance rates, with room for improvement in test scores.",Graduation rate,Test scores,High School
Nashoba Regional,Nashoba Reg,Bolton,Public School,1011,14.5,5.0,16.9,14264.04,Level 2,83.0,Thriving,Nashoba Regional boasts a 94.5% graduation rate and 90% college attendance.,Graduation,Expenditures,High School
Nashoba Valley Technical High School,Nashoba Valley,Westford,Public School,732,15.6,19.5,47.8,17030.03,Level 1,51.0,Performing,Nashoba Valley maintains a high graduation rate despite challenges in college attendance and AP performance.,Graduation Rate,College Attendance,High School
Natick High,Natick High,Natick,Public School,1664,17.3,10.3,23.6,14044.07,Level 1,88.0,Thriving,Natick High boasts an impressive graduation rate of 98.4% and strong college attendance.,Graduation Rate,SAT Scores,High School
Nauset Regional High,Nauset Reg High,North Eastham,Public School,929,13.7,17.9,28.1,18326.55,Level 1,79.0,Thriving,"Nauset Regional High boasts a high graduation rate and strong college attendance, indicating successful student outcomes.",Graduation rate,SAT scores,High School
Needham High,Needham High,Needham,Public School,1659,17.5,5.5,19.7,15900.29,Level 1,85.0,Thriving,Needham High boasts an impressive graduation rate of 99% and a high college attendance rate of 91%.,Graduation Rate,N/A,High School
New Bedford High,New Bedford Hig,New Bedford,Public School,2014,15.6,58.9,76.4,13144.71,Level 4,2.0,At Risk,"The school has a graduation rate of only 65.2%, indicating a significant need for improvement.",Enrollment,Graduation,High School
Newburyport High,Newburyport Hig,Newburyport,Public School,779,16.3,10.5,19.0,14165.05,Level 1,92.0,Thriving,Newburyport High boasts an impressive graduation rate of 96.1% and high AP performance.,Graduation Rate,N/A,High School
Newton North High,Newton N High,Newtonville,Public School,2126,15.9,10.4,32.1,18096.3,Level 1,87.0,Thriving,Newton North High boasts an impressive graduation rate and strong college attendance.,Graduation,None,High School
Newton South High,Newton S High,Newton Centre,Public School,1851,13.9,8.8,28.4,18096.3,Level 1,90.0,Thriving,Newton South High boasts exceptional graduation and college attendance rates with impressive SAT and AP performance.,Graduation Rate,None,High School
Norfolk County Agricultural,Norfolk County,Walpole,Public School,534,16.5,14.0,29.4,22390.88,Level 1,71.0,Thriving,Norfolk County Agricultural boasts a 100% graduation rate and strong college attendance.,Graduation,SAT Scores,High School
Drury High,Drury High,North Adams,Public School,439,11.0,53.3,59.5,15583.61,Level 3,8.0,Struggling,Drury High has high dropout rates and low college attendance compared to state averages.,Small class sizes,Low college attendance,High School
North Andover High,N Andover High,North Andover,Public School,1391,18.6,10.8,19.0,12054.9,Level 2,68.0,Thriving,North Andover High boasts a 97% graduation rate and 90% AP success.,Graduation,SAT scores,High School
North Attleboro High,N Attleboro Hig,North Attleborough,Public School,1163,16.9,12.4,22.1,11245.15,Level 2,54.0,Thriving,North Attleboro High boasts impressive graduation and college attendance rates alongside strong AP performance.,Graduation Rate,SAT Scores,High School
North Brookfield High,N Brookfield Hi,North Brookfield,Public School,230,13.0,34.3,40.0,13352.56,Level 2,30.0,Performing,North Brookfield High has a solid graduation rate and college attendance but average SAT scores.,Graduation Rate,SAT Scores,High School
North Middlesex Regional,N Middlesex Reg,Townsend,Public School,795,17.0,12.6,22.6,13761.7,Level 2,49.0,Performing,North Middlesex Regional demonstrates solid graduation and college attendance rates.,Graduation rate,SAT scores,High School
North Reading High,N Reading High,North Reading,Public School,811,20.2,5.9,19.9,14137.48,Level 2,74.0,Thriving,North Reading High boasts high graduation and college attendance rates with strong AP performance.,Graduation Rate,None,High School
Northampton High,Northampton Hig,Northampton,Public School,874,17.2,18.6,28.7,14056.81,Level 2,71.0,Thriving,Northampton High boasts a strong graduation rate and high college attendance.,Graduation rate,N/A,High School
Smith Vocational and Agricultural High,Smith Voc Agric,Northampton,Public School,486,13.0,31.1,54.1,23246.51,Level 1,34.0,Performing,Smith Vocational and Agricultural High has a strong graduation rate and no dropouts.,Graduation rate,College attendance,High School
Algonquin Regional High,Algonquin Reg H,Northborough,Public School,1443,16.4,5.5,17.3,15190.22,Level 1,95.0,Thriving,Algonquin Regional High boasts impressive graduation and college attendance rates.,Graduation Rate,SAT Scores,High School
Northbridge High,Northbridge Hig,Whitinsville,Public School,584,12.9,24.0,32.7,12437.24,Level 2,28.0,Performing,Northbridge High has a solid graduation rate and above-average AP performance.,Graduation rate,College attendance,High School
Northeast Metro Regional Vocational,Northeast Metro,Wakefield,Public School,1261,19.4,30.8,48.6,20309.02,Level 1,38.0,Performing,The school has a high graduation rate but average college attendance and SAT scores.,Graduation rate,College attendance,High School
Charles McCann Vocational Technical,Charles McCann,North Adams,Public School,484,12.6,30.2,40.3,19712.36,Level 2,40.0,Performing,The school boasts a high graduation rate of 96.7%.,Graduation Rate,College Attendance,High School
Norton High,Norton High,Norton,Public School,763,19.8,13.6,23.7,13218.59,Level 2,56.0,Thriving,Norton High boasts a high graduation rate and strong college attendance.,Graduation rate,N/A,High School
Norwell High,Norwell High,Norwell,Public School,709,15.6,3.5,13.0,14352.38,Level 1,93.0,Thriving,Norwell High boasts a remarkable graduation rate of 98.8% and strong college attendance.,Graduation rate,SAT scores,High School
Norwood High,Norwood High,Norwood,Public School,957,13.8,20.4,33.3,15479.54,Level 2,44.0,Performing,"Norwood High demonstrates a solid graduation rate and college attendance, reflecting stable performance overall.",Graduation rate,SAT scores,High School
Old Colony Regional Vocational Technical,Old Colony Reg,Rochester,Public School,546,14.0,17.6,35.7,19290.69,Level 1,53.0,Performing,The school boasts a high graduation rate of 97.2% despite lower college attendance.,Graduation rate,College attendance,High School
Old Rochester Regional High,Old Rochester R,Mattapoisett,Public School,748,17.6,7.9,17.2,14099.08,Level 2,51.0,Performing,Old Rochester Regional High showcases solid graduation and college attendance rates.,Graduation Rate,Average SAT Scores,High School
Oxford High,Oxford High,Oxford,Public School,538,14.4,34.8,41.6,13125.98,Level 1,21.0,Performing,Oxford High has a commendable graduation rate and college attendance but average SAT and AP scores.,Graduation rate,SAT scores,High School
Palmer High,Palmer High,Palmer,Public School,486,12.2,30.7,40.5,14119.7,Level 3,17.0,Performing,"Palmer High maintains a solid graduation rate and college attendance, reflecting overall average performance.",Graduation rate,SAT scores,High School
Pathfinder Vocational Technical,Pathfinder Voc,Palmer,Public School,618,11.4,36.6,51.9,22343.35,Level 3,13.0,Performing,Pathfinder Vocational Technical has a solid graduation rate but lower college attendance and SAT scores.,Graduation Rate,College Attendance,High School
Peabody Veterans Memorial High,Peabody Veteran,Peabody,Public School,1540,15.7,27.4,41.7,13495.79,Level 3,17.0,Performing,Peabody Veterans Memorial High has a solid graduation rate with moderate college attendance.,Graduation rate,SAT scores,High School
Pembroke High School,Pembroke HS,Pembroke,Public School,973,18.3,10.7,19.1,11467.47,Level 2,61.0,Performing,Pembroke HS boasts a high graduation rate with solid college attendance figures.,Graduation rate,SAT scores,High School
Pentucket Regional Sr High,Pentucket Reg S,West Newbury,Public School,734,13.9,8.7,18.1,13869.36,Level 1,79.0,Thriving,Pentucket Regional demonstrates strong graduation and college attendance rates along with high AP performance.,Graduation rate,SAT scores,High School
Pioneer Charter School of Science,Pioneer CS Sci,Everett,Charter School,543,18.2,38.1,65.6,,Level 1,93.0,Thriving,Pioneer Charter School of Science boasts a high graduation rate and impressive college attendance.,Graduation rate,SAT Reading scores,High School
Pioneer Valley Regional,Pioneer Valley,Northfield,Public School,409,13.0,16.6,26.2,15385.52,Level 2,62.0,Performing,Pioneer Valley has a strong graduation rate and a solid percentage of students attending college.,Graduation rate,SAT scores,High School
Pioneer Valley Performing Arts Charter Public School,Pioneer Valle 3,South Hadley,Charter School,398,12.0,21.4,35.2,,Level 2,71.0,Thriving,The school boasts an impressive graduation rate and college attendance.,Graduation rate,SAT scores,High School
Pittsfield High,Pittsfield High,Pittsfield,Public School,861,13.8,38.4,50.6,14459.81,Level 3,7.0,Struggling,Pittsfield High has significant dropout rates and low graduation rates compared to state averages.,AP participation,Graduation rates,High School
Taconic High,Taconic High,Pittsfield,Public School,706,11.8,40.7,49.0,14459.81,Level 3,16.0,Performing,Taconic High demonstrates solid graduation and college attendance rates despite varying academic performance metrics.,Graduation rate,SAT scores,High School
Plymouth North High,Plymouth N High,Plymouth,Public School,1307,16.2,23.6,34.8,14934.64,Level 2,23.0,Performing,Plymouth North High has a solid graduation rate and college attendance reflecting average performance.,Graduation rate,SAT scores,High School
Plymouth South High,Plymouth S High,Plymouth,Public School,1026,13.4,16.5,31.5,14934.64,Level 2,32.0,Performing,Plymouth South High boasts a high graduation rate of 93.6% with a solid AP performance.,Graduation Rate,SAT Scores,High School
Prospect Hill Academy Charter School,Prospect Hill A,Cambridge,Charter School,1135,21.2,37.9,53.6,,Level 2,49.0,Performing,"The school boasts a high graduation rate and college attendance, but average SAT scores indicate room for improvement.",Graduation,SAT Scores,High School
Quabbin Regional High School,Quabbin Reg HS,Barre,Public School,676,17.1,19.7,29.6,13957.09,Level 2,41.0,Performing,Quabbin Regional High School maintains a solid graduation rate and college attendance despite some room for improvement.,Graduation Rate,SAT Scores,High School
Quaboag Regional High,Quaboag Reg Hig,Warren,Public School,365,14.7,35.1,41.9,12012.9,Level 2,49.0,Performing,"Quaboag Regional High has notably high graduation and AP scores, indicating solid overall student achievement.",Graduation rate,College attendance,High School
North Quincy High,N Quincy High,Quincy,Public School,1168,16.4,33.1,47.2,16022.62,Level 1,66.0,Thriving,North Quincy High boasts a high graduation rate and strong AP performance.,Graduation rate,SAT scores,High School
Quincy High,Quincy High,Quincy,Public School,1503,15.7,34.7,50.6,16022.62,Level 2,29.0,Performing,Quincy High has a solid graduation rate and AP performance but room for improvement in college attendance.,Graduation rate,College attendance,High School
Ralph C Mahar Regional,Ralph C Mahar R,Orange,Public School,635,12.7,40.3,46.5,14711.46,Level 2,24.0,Performing,The school has a solid graduation rate and college attendance but could improve SAT scores.,Graduation rate,SAT scores,High School
The Gateway to College,Gateway to Coll,Gardner,Public School,79,,30.4,38.0,14711.46,Insufficient data,,Struggling,The school's graduation rate is significantly low despite achieving a perfect college attendance rate.,College attendance,Graduation rate,High School
Randolph High,Randolph High,Randolph,Public School,679,15.6,42.7,59.8,16051.0,Level 2,33.0,Performing,Randolph High shows solid graduation and college attendance rates amidst economic challenges.,Graduation rate,SAT scores,High School
Reading Memorial High,Reading Memoria,Reading,Public School,1265,17.2,5.9,22.1,12519.75,Level 1,77.0,Thriving,Reading Memorial High boasts an impressive graduation rate of 98.4% and high college attendance.,Graduation rate,SAT scores,High School
Revere High,Revere High,Revere,Public School,1837,19.7,38.4,54.1,14165.4,Level 2,25.0,Performing,Revere High maintains strong graduation and college attendance rates despite challenges with SAT scores.,Graduation Rate,SAT Scores,High School
Seacoast School,Seacoast Sch,Revere,Public School,121,11.0,53.7,68.6,14165.4,Insufficient data,,At Risk,"The school has a low graduation rate and a high dropout rate, indicating urgent issues.",Small class size,High dropout rate,High School
